country,advisory,passport,visas,link,updated
Australia,Take normal security precautions,Your passport must be valid on the day of entry into the country.,"Tourist visa: required 
Business visa: required 
Student visa: required",https://travel.gc.ca/destinations/australia,2020-07-15 14:45:38
Austria,Take normal security precautions,Your passport must be valid for at least 3 months beyond the date you expect to leave from the Schengen area.,Tourist visa: Not required for stays up to 90 days,https://travel.gc.ca/destinations/austria,2020-07-03 10:51:29
Azerbaijan,Exercise a high degree of caution,Your passport must be valid for at least 6 months beyond the date you expect to leave from Azerbaijan.,Canadians must be in possession of a visa to visit Azerbaijan.,https://travel.gc.ca/destinations/azerbaijan,2020-07-15 14:45:38
Azores,Take normal security precautions,Your passport must be valid for at least 3 months beyond the date you expect to leave the Schengen area.,Tourist visa: Not required for stays up to 90 days*,https://travel.gc.ca/destinations/azores,2020-07-15 15:03:30
Bahamas,Exercise a high degree of caution,Your passport must be valid for at least 6 months beyond the date you expect to leave The Bahamas.,"Tourist visa: not required for stays up to 8 months
Business visa: not required
Student permit: required",https://travel.gc.ca/destinations/bahamas,2020-07-15 14:45:38
Bahrain,Exercise a high degree of caution,Your passport must be valid for at least 6 months beyond the date you expect to leave Bahrain.,Canadians must have a visa to visit Bahrain.,https://travel.gc.ca/destinations/bahrain,2020-07-15 14:45:38
Bangladesh,Exercise a high degree of caution,Your passport must be valid for at least 6 months at the time of arrival in Bangladesh.,"Tourist visa: required (for stays up to 30 days)
Business visa: required (for stays up to 30 days)
Student visa: Required",https://travel.gc.ca/destinations/bangladesh,2020-07-15 14:45:38
Barbados,Take normal security precautions,Your passport must be valid for the duration of your stay in Barbados.,"Tourist visa: not required 
Business visa: not required
Work visa: required
Student visa: required",https://travel.gc.ca/destinations/barbados,2020-07-15 14:45:38
Belarus,Take normal security precautions,Your passport must be valid for at least 3 months beyond the date you expect to leave from Belarus.,"Tourist visa: Not required for stays of up to 30 days
Business visa: Required
Student visa: Required
Transit visa: Not required",https://travel.gc.ca/destinations/belarus,2020-07-15 14:45:38
Belgium,Exercise a high degree of caution,Your passport must be valid for at least 3 months beyond the date you expect to leave the Schengen area.,Tourist visa: Not required for stays up to 90 days,https://travel.gc.ca/destinations/belgium,2020-07-10 14:25:48
Belize,Exercise a high degree of caution,Your passport must be valid at least 6 months beyond the date you expect to leave Belize.,"Tourist visa: Not required for stays up to 30 days
Business visa: Required 
Student visa: Required",https://travel.gc.ca/destinations/belize,2020-07-15 14:45:38
Benin,Exercise a high degree of caution,Your passport must be valid for at least 6 months beyond the date you expect to leave Benin.,Canadians must be in possession of a visa prior to arriving in Benin.,https://travel.gc.ca/destinations/benin,2020-07-15 14:45:38
Bermuda,Take normal security precautions,Your passport must be valid for at least 45 days beyond the date of expected departure from Bermuda.,"Tourist visa: Not required  
Business visa: Not required ",https://travel.gc.ca/destinations/bermuda,2020-07-15 14:45:38
Bhutan,Take normal security precautions,Your passport must be valid for at least 6 months beyond the date you expect to leave Bhutan.,Tourist visa: Required,https://travel.gc.ca/destinations/bhutan,2020-07-15 14:45:38
Bolivia,Exercise a high degree of caution,Your passport must be valid for at least 6 months beyond the date of expected departure from Bolivia.,"Tourist visa: not required for stays up to 30 days
Business visa: required 
Student visa: required",https://travel.gc.ca/destinations/bolivia,2020-07-15 14:45:38
Bonaire,Take normal security precautions,Your passport must be valid for the duration of your stay in Bonaire.,"Tourist visa: Not required (for stays of up to 90 days in a 180-day period)
Business visa: Not required
Student visa: Required",https://travel.gc.ca/destinations/bonaire,2020-07-15 14:45:38
Bosnia and Herzegovina,Exercise a high degree of caution,Your passport must be valid for at least three months beyond the date you expect to leave from Bosnia and Herzegovina.,"Tourist visa: Not required for stays up to 90 days
Business visa: Not required for stays up to 90 days
Student visa: Not required for stays up to 90 days",https://travel.gc.ca/destinations/bosnia-and-herzegovina,2020-07-15 14:45:38
Botswana,Take normal security precautions,Your passport must be valid for at least six months beyond the date you expect to leave Botswana.,Work visa:,https://travel.gc.ca/destinations/botswana,2020-07-15 14:45:38
Brazil,Exercise a high degree of caution,Your passport must be valid for at least 6 months beyond the date you expect to leave Brazil.,"Tourist visa: not required for stays of up to 90 days
Business visa: not required for stays of up to 90 days without remuneration
Student visa: not required for stays of up to 90 days",https://travel.gc.ca/destinations/brazil,2020-07-15 14:45:38
British Virgin Islands,Take normal security precautions,Your passport must be valid for the duration of your expected stay in the British Virgin Islands.,"Tourist visa: Not required for stays up to 30 days
Business visa: Not required for stays up to 30 days 
Student visa: Not required for stays up to 30 days",https://travel.gc.ca/destinations/british-virgin-islands,2020-07-15 14:45:38
Brunei,Take normal security precautions,Your passport must be valid for at least 6 months beyond the date you expect to leave Brunei.,"Tourist visa: required for stays of more than 14 days
Business visa: required for stays of more than 14 days
Student visa: required",https://travel.gc.ca/destinations/brunei,2020-07-15 14:45:38
Bulgaria,Take normal security precautions,Your passport must be valid 3 months beyond the date you expect to leave Bulgaria.,"Tourist visa: Not required for stays of fewer than 90 days in any 180-day period
Business visa: Not required for stays of fewer than 90 days in any 180-day period
Student visa: Not required for stays of fewer than 90 days in any 180-day period",https://travel.gc.ca/destinations/bulgaria,2020-07-03 10:51:29
Burkina Faso,Avoid non-essential travel,Your passport must be valid for the duration of your stay.,You must have a visa.,https://travel.gc.ca/destinations/burkina-faso,2020-07-15 14:45:38
Burundi,Avoid all travel,Your passport must be valid for the duration of your stay.,Tourist: required,https://travel.gc.ca/destinations/burundi,2020-07-15 14:45:38
Cabo Verde,Exercise a high degree of caution,Your passport must be valid for the duration of your stay.,"Canadians must also be in possession of a visa, which can be obtained on arrival at any point of entry. The visa is valid for up to 30 days.",https://travel.gc.ca/destinations/cabo-verde,2020-07-15 14:45:38
Cambodia,Exercise a high degree of caution,Your passport must be valid for at least 6 months beyond the date of entry into Cambodia.,"Tourist visa: Required
Business visa: Required
Student visa: Required",https://travel.gc.ca/destinations/cambodia,2020-06-16 14:34:23
Cameroon,Exercise a high degree of caution,Your passport must be valid for at least 6 months beyond the date you expect to leave from Cameroon.,Canadians must have a visa and an onward or return ticket.,https://travel.gc.ca/destinations/cameroon,2020-07-15 14:45:38
Canary Islands,Take normal security precautions,Your passport must be valid at least 3 months beyond the date you expect to leave the Canary Islands.,"Tourist visa: not required for stays up to 90 days*
Business visa: not required
Student visa: required",https://travel.gc.ca/destinations/canary-islands,2020-07-15 15:05:21
Cayman Islands,Take normal security precautions,Your passport must be valid until the date of expected departure from the territory.,"Tourist visa: Not required for stays up to six months
Work permit: Required
Student visa: Required",https://travel.gc.ca/destinations/cayman-islands,2020-07-15 14:45:38
Central African Republic,Avoid all travel,Your passport must be valid for at least 6 months beyond the date you expect to leave the Central African Republic.,Canadians must also have a visa.,https://travel.gc.ca/destinations/central-african-republic,2020-07-15 14:45:38
Chad,Avoid non-essential travel,Your passport must be valid for at least 6 months beyond the date you expect to leave Chad.,You must have a visa.,https://travel.gc.ca/destinations/chad,2020-07-15 14:45:38
Chile,Exercise a high degree of caution,Your passport must be valid must be valid for the duration of your stay in Chile.,"Tourist visa: not required
Business visa: not required
Student visa: required
Work visa: required",https://travel.gc.ca/destinations/chile,2020-07-15 14:45:38
China,Exercise a high degree of caution,Your passport must be valid for at least 6 months upon entry into China.,"Tourist visa: Required 
Business visa: Required 
Student visa: Required 
Working visa: Required",https://travel.gc.ca/destinations/china,2020-07-12 12:49:50
Colombia,Exercise a high degree of caution,Your passport must be valid for at least 6 months beyond the date you expect to leave Colombia.,"Tourist visa: not required (for stays of up to 90 days)
Business or work visa: required
Student visa: required",https://travel.gc.ca/destinations/colombia,2020-07-15 14:45:38
Comoros,Exercise a high degree of caution,Your passport must be valid for at least 3 months beyond the date you expect to leave Comoros.,Tourist visa: Required (available on arrival)Business visa: Required (available on arrival)Student visa: Required (available on arrival),https://travel.gc.ca/destinations/comoros,2020-07-15 14:45:38
Cook Islands,Take normal security precautions,Your passport must be valid for at least 6 months beyond the date you expect to leave the Cook Islands.,"Tourist visa: Not required (for up to 31 days)
Business visa: Required 
Student visa: Not applicable; it is not possible to travel to the Cook Islands to study.",https://travel.gc.ca/destinations/cook-islands,2020-07-15 14:45:38
Costa Rica,Exercise a high degree of caution,"Your passport must be valid to visit Costa Rica. In order to avoid unexpected delays, we recommend that your passport be valid for at least 1 month beyond the date of your expected departure from Costa Rica.","Tourist visa: not required for stays up to 90 days
Business visa: required
Student visa: required",https://travel.gc.ca/destinations/costa-rica,2020-07-15 14:45:38
Croatia,Take normal security precautions,Your passport must be valid for at least 3 months beyond the date you expect to leave from Croatia.,Tourist visa: Not required for stays up to 90 days,https://travel.gc.ca/destinations/croatia,2020-07-13 11:26:31
Cuba,Take normal security precautions,"Your passport must be valid to visit Cuba. In order to avoid unexpected delays prior to departure, ensure that your passport be valid for at least 1 month beyond the date of your expected departure from Cuba.If you are both a Canadian and Cuban citizen, you must present your valid Cuban passport to the immigration authorities to enter Cuba. You must also have a valid Canadian passport to return to Canada.If you were born in Cuba, you should contact a Cuban government office in Canada before you leave to ensure compliance with Cuban regulations, regardless of your current citizenship. Failure to do so may result in being refused entry into Cuba or being detained upon entry.","Tourist visa: required
Family visa: required
Business visa: required
Press visa for journalist: required",https://travel.gc.ca/destinations/cuba,2020-07-15 14:45:38
Curaçao,Take normal security precautions,Your passport must be valid for at least 3 months beyond the date of expected departure from Curaçao.,"Tourist visa: Not required (for stays of 30 days or less)
Business visa: Not required
Work permit: Required
Student visa: Required",https://travel.gc.ca/destinations/curacao,2020-07-15 14:45:38
Cyprus,Take normal security precautions,Your passport must be valid for at least 6 months beyond the date you expect to leave from Cyprus.,"Tourist visa: Not required
Business visa: Not required
Student visa: required",https://travel.gc.ca/destinations/cyprus,2020-07-03 10:51:29
Czech Republic,Take normal security precautions,Your passport must be valid for at least 3 months beyond the date you expect to leave the Schengen area.,Tourist visa: Not required for stays up to 90 days,https://travel.gc.ca/destinations/czech-republic,2020-07-03 10:51:29
Côte d'Ivoire (Ivory Coast),Exercise a high degree of caution,Your passport must be valid for at least 6 months beyond the date you expect to leave Côte d'Ivoire.,Canadians must be in possession of a visa before arrival.,https://travel.gc.ca/destinations/cote-d-ivoire-ivory-coast,2020-07-15 16:44:15
Democratic Republic of Congo (Kinshasa),Avoid non-essential travel,Your passport must be valid for at least 6 months beyond the date you expect to leave from the DRC.,"Tourist visa: Required 
Business visa: Required 
Student visa: Required (Students must obtain a tourist visa) 
Transit visa: Required",https://travel.gc.ca/destinations/congo-kinshasa,2020-07-15 14:45:38
Denmark,Take normal security precautions,Your passport must be valid for at least 3 months beyond the date you expect to leave the Schengen area.,Tourist visa: Not required for stays up to 90 days within any 180-day period,https://travel.gc.ca/destinations/denmark,2020-07-03 10:51:29
Djibouti,Exercise a high degree of caution,Your passport must be valid for at least 6 months beyond the date you expect to leave Djibouti.,Canadians must be in possession of a visa to visit Djibouti.,https://travel.gc.ca/destinations/djibouti,2020-07-15 14:45:38
Dominica,Take normal security precautions,Your passport must be valid for the expected duration of your stay in Dominica.,"Tourist visa: not required for stays of up to 6 months
Business visa: not required
Student visa: required",https://travel.gc.ca/destinations/dominica,2020-07-15 14:45:38
Dominican Republic,Exercise a high degree of caution,Your passport must be valid for at least 6 months beyond the date you expect to leave the Dominican Republic.,"Tourist visa: not required
Work visa: required
Student visa: required
Residence visa: required",https://travel.gc.ca/destinations/dominican-republic,2020-07-15 14:45:38
Ecuador,Exercise a high degree of caution,Your passport must be valid for at least 6 months beyond the date you expect to leave Ecuador.,"Tourist visa: Not required 
Business visa: Not required 
Student visa: Not required",https://travel.gc.ca/destinations/ecuador,2020-07-15 14:45:38
Egypt,Exercise a high degree of caution,Your passport must be valid for at least 6 months beyond the date you expect to leave Egypt.,Canadians must be in possession of a visa to visit Egypt.,https://travel.gc.ca/destinations/egypt,2020-07-15 14:45:38
El Salvador,Exercise a high degree of caution,Your passport must be valid for at least 6 months beyond the date you expect to leave El Salvador.,"Tourist visa: Not required
Business visa: Not required
Student visa: Not required",https://travel.gc.ca/destinations/el-salvador,2020-07-15 14:45:38
Equatorial Guinea,Exercise a high degree of caution,Your passport must be valid for at least 6 months beyond the date you expect to leave Equatorial Guinea.,"Tourist visa: Required
Business visa: Required",https://travel.gc.ca/destinations/equatorial-guinea,2020-07-15 14:45:38
Eritrea,Avoid non-essential travel,Your passport must be valid for at least 6 months beyond the date you expect to leave Eritrea.,You need a visa.,https://travel.gc.ca/destinations/eritrea,2020-07-15 14:45:38
Estonia,Take normal security precautions,Your passport must be valid for at least 3 months beyond the date you expect to leave the Schengen area.,"Tourist visa: not required for stays of fewer than 90 days in any 180-day period*
Transit visa: not required
Business visa: not required for stays of fewer than 90 days in any 180-day period*",https://travel.gc.ca/destinations/estonia,2020-07-03 10:51:29
Eswatini,Take normal security precautions,"Your passport must be valid for at least 6 months beyond the date you expect to leave Eswatini, and have at least 2 blank pages.","Tourist visa: Not required for stays up to 30 days
Business visa: Not required
Student visa: Not required",https://travel.gc.ca/destinations/eswatini,2020-07-15 14:45:38
Ethiopia,Exercise a high degree of caution,Your passport must be valid for at least 6 months beyond the date you expect to leave Ethiopia.,"Tourist visa: Required
Business visa: Required
Transit visa: Required",https://travel.gc.ca/destinations/ethiopia,2020-07-15 15:27:52
Falkland Islands,Take normal security precautions,Your passport must be valid for the expected duration of your stay in the Falkland Islands. ,"Tourist Visa: Not required for stays up to 4 months
Business Visa: Required",https://travel.gc.ca/destinations/falkland-islands,2020-07-15 14:45:38
Fiji,Take normal security precautions,Your passport must be valid for at least 6 months beyond the date you expect to leave Fiji.,"Tourist visa: Issued upon arrival for stays of up to 4 months
Business visa: Required
Work visa: Required",https://travel.gc.ca/destinations/fiji,2020-07-15 14:45:38
Finland,Take normal security precautions,Your passport must be valid for at least 3 months beyond the date you expect to leave the Schengen area.,Tourist visa: Not required for stays up to 90 days,https://travel.gc.ca/destinations/finland,2020-07-03 10:51:29
France,Exercise a high degree of caution,Your passport must be valid for at least 3 months beyond the date you expect to leave the Schengen area.,Tourist visa: Not required for stays up to 90 days,https://travel.gc.ca/destinations/france,2020-07-14 10:13:33
French Guiana,Take normal security precautions,Your passport must be valid for at least 3 months beyond the date you expect to leave French Guiana.,"Tourist visa: not required for stays up to 90 days
Long-stay or residency visa: required for stays more than 90 days
Professional visa: required
Student visa: required",https://travel.gc.ca/destinations/french-guiana,2020-07-15 15:47:46
French Polynesia,Take normal security precautions,Your passport must be valid for at least 3 months beyond the date you expect to leave French Polynesia.,"Tourist visa: Not required for stays up to 90 days
Professional visa: Required
Student visa: Required",https://travel.gc.ca/destinations/french-polynesia,2020-07-15 15:53:18
Gabon,Exercise a high degree of caution,Your passport must be valid for at least 6 months beyond the date you expect to leave Gabon.,Canadians must be in possession of a visa to visit Gabon. Consult the Embassy of the Gabonese Republic for information on how to obtain a visa.,https://travel.gc.ca/destinations/gabon,2020-07-15 14:45:38
"Gambia, The",Exercise a high degree of caution,Your passport must be valid for the duration of your stay.,"Tourist visa: Required 
Business visa: Required
Employment permit: Required",https://travel.gc.ca/destinations/gambia-the,2020-07-15 14:45:38
Georgia,Take normal security precautions,Your passport must be valid for at least 6 months beyond the date you expect to leave Georgia.,"Tourist visa: Not required for stays up to 365 days
Business visa: Not required for stays up to 365 days
Student visa: Not required for stays up to 365 days",https://travel.gc.ca/destinations/georgia,2020-07-15 14:45:38
Germany,Take normal security precautions,Your passport must be valid for at least 3 months beyond the date you expect to leave the Schengen area.,Tourist visa: Not required for stays up to 90 days,https://travel.gc.ca/destinations/germany,2020-07-03 10:51:29
Ghana,Exercise a high degree of caution,Your passport must be valid for at least 6 months beyond the date you expect to leave Ghana.,"Tourist visa: Required
Business visa: Required
Student visa: Required",https://travel.gc.ca/destinations/ghana,2020-07-15 14:45:38
Gibraltar,Take normal security precautions,Your passport must be valid for at least 3 months beyond the date of expected departure from Gibraltar.,"Tourist visa: Not required for stays up to 180 days
Work permit: Required
Student visa: Required",https://travel.gc.ca/destinations/gibraltar,2020-07-15 14:45:38
Greece,Take normal security precautions,Your passport must be valid for at least 3 months beyond the date you expect to leave the Schengen area.,Tourist visa: Not required for stays up to 90 days,https://travel.gc.ca/destinations/greece,2020-07-03 10:51:29
Greenland,Take normal security precautions,Your passport must be valid for at least 3 months beyond the date you expect to leave from Greenland.,"Tourist visa: Not required for stays up to 90 days in a 180 day period
Business visa: Not required for stays up to 90 days",https://travel.gc.ca/destinations/greenland,2020-07-15 14:45:38
Grenada,Take normal security precautions,Your passport must be valid for the expected duration of your stay in Grenada.,"Tourist visa: Not required for stays up to 90 days 
Business visa: Not required
Student visa: Not required",https://travel.gc.ca/destinations/grenada,2020-07-15 14:45:38
Guadeloupe,Take normal security precautions,Your passport must be valid for at least 3 months beyond the date of expected departure from Guadeloupe.,"Tourist visa: not required for stays up to 90 days
Business visa: required
Student visa: required",https://travel.gc.ca/destinations/guadeloupe,2020-07-15 15:48:59
Guam,Take normal security precautions,,,https://travel.gc.ca/destinations/guam,2020-07-15 14:45:38
Guatemala,Exercise a high degree of caution,Your passport must be valid at least 6 months beyond the date you expect to leave Guatemala.,"Tourist visa: not required
Business visa: required
Student visa: required",https://travel.gc.ca/destinations/guatemala,2020-07-15 14:45:38
Guinea,Exercise a high degree of caution,Your passport must be valid for at least the duration of your stay.,You must obtain a visa prior to your departure for Guinea.,https://travel.gc.ca/destinations/guinea,2020-07-15 14:45:38
Guinea-Bissau,Exercise a high degree of caution,Your passport must be valid for at least 3 months beyond the date you expect to leave Guinea-Bissau.,Canadians must have a visa to enter Guinea-Bissau.,https://travel.gc.ca/destinations/guinea-bissau,2020-07-15 16:46:31
Guyana,Exercise a high degree of caution,Your passport must be valid at least 6 months beyond the date you expect to leave Guyana.,"Tourist visa: Not required (up to 90 days)
Business visa: Not required
Student visa: Not required",https://travel.gc.ca/destinations/guyana,2020-07-15 14:45:38
Haiti,Avoid non-essential travel,Your passport must be valid for the expected duration of your stay in Haiti.,"Work permit: Required
Tourist visa: Not required
Business visa: Not required
Student visa: Required",https://travel.gc.ca/destinations/haiti,2020-07-15 14:45:38
Honduras,Exercise a high degree of caution,Your passport must be valid at least 6 months from the date of entry.,"Tourist visa: Not required for stays up to 90 days
Business visa: Not required for stays up to 30 days
Student visa: Required",https://travel.gc.ca/destinations/honduras,2020-07-15 14:45:38
Hong Kong,Exercise a high degree of caution,Your passport must be valid for at least 1 month beyond the expiry date of your visa.,"Tourist visa: Not required for stays of up to 90 days
Business visa: Not required for stays of up to 90 days
Student visa: Required",https://travel.gc.ca/destinations/hong-kong,2020-07-15 14:45:38
Hungary,Take normal security precautions,Your passport must be valid for at least 3 months beyond the date you expect to leave the Schengen area.,"Tourist visa: Not required for stays less than 90 days in any 180-day period*
Business visa: Not required for stays less than 90 days in any 180-day period*
Student visa: Not required for stays less than 90 days in any 180-day period*",https://travel.gc.ca/destinations/hungary,2020-07-03 10:51:29
Iceland,Take normal security precautions,Your passport must be valid for at least 3 months beyond the date you expect to leave the Schengen area.,Tourist visa: Not required for stays up to 90 days,https://travel.gc.ca/destinations/iceland,2020-07-15 14:45:38
India,Exercise a high degree of caution,Your passport must be valid for 6 months from your date of entry into India and must contain two blank pages for use by immigration officials.,"Tourism visa: required
Work visa: required
Business visa: required
Student visa: required",https://travel.gc.ca/destinations/india,2020-07-15 14:45:38
Indonesia,Exercise a high degree of caution,Your passport must be valid for 6 months beyond the date of entry into Indonesia and must contain at least one blank page for the placement of the Indonesian visa or entry stamp.,Free visit (stays under 30 days): Not required,https://travel.gc.ca/destinations/indonesia,2020-07-15 14:45:38
Iran,Avoid all travel,Your passport must be valid for at least 6 months beyond the date you expect to leave Iran.,"Canadians must be in possession of a visa to visit Iran.Tourist visa: Required
Business visa: Required
Student visa: Required
Pilgrimage visa: Required
Press visa: Required
Transit visa: RequiredOverstaying your visa may lead to detention, imprisonment and fines and you will be required to remain in Iran until the situation has been resolved.The application process for an Iranian visa can be long. It should be started well in advance of your date of travel. One of the following third parties must submit a tourist visa application on your behalf:a travel agency or tour guidean organizationa relative or another sponsor in IranBusiness visitorsYou can obtain a business visa, which is valid for 72 hours, at any point of entry. The host company must contact the Passport and Visa Department of the Iranian Ministry of Foreign Affairs prior to your arrival to complete the necessary paperwork.Your passport may be confiscated in business disputes.Dual citizenshipUnder Iranian law, dual Canadian-Iranians citizens must enter and exit Iran using their Iranian passport. When returning to Canada from Iran, they must present to Canadian officials the passport they used to leave Canada.If you enter Iran with a transit pass issued by an embassy of the Islamic Republic of Iran abroad, it may take up to a year to obtain an Iranian passport to exit Iran or return to Canada.Iranian immigration authorities have confiscated the foreign passports (including Canadian) of Iranian dual citizens.Iranian authorities sometimes insert an observation in Iranian passports limiting the bearer to one trip to Iran per year. Dual citizens using an Iranian passport to enter Iran should take note of this limitation, as it is strictly enforced: those who have exceeded this limitation have been prohibited from leaving Iran. This situation seems more likely to occur when dual citizens have not completed their military service in Iran.Dual Canadian-Iranians who have obtained their Canadian citizenship after being accepted as refugees in Canada may have their Iranian passport seized at a port of entry and be prohibited from leaving Iran for a year.See Laws &amp; Culture for more information on dual citizenship.Regional travelCanadians have been denied entry into Iran because their passports bore an Israeli visa, an Israeli border stamp or an Egyptian or Jordanian border stamp issued by an office bordering Israel, which would indicate the traveller entered from Israel.",https://travel.gc.ca/destinations/iran,2020-07-15 14:45:38
Iraq,Avoid all travel,Your passport must be valid for at least 6 months from the date of entry into Iraq.,"Canadians must have a visa to visit Iraq. After 10 days in the country, you must register your arrival with the Iraqi Residence Office (Ministry of Interior). After three months in Iraq, you must apply for a one-year residence permit.",https://travel.gc.ca/destinations/iraq,2020-07-15 14:45:38
Ireland,Take normal security precautions,Your passport must be valid for the expected duration of your stay in Ireland.,Tourist visa: Not required for stays up to 90 days,https://travel.gc.ca/destinations/ireland,2020-07-15 13:42:00
"Israel, the West Bank and the Gaza Strip",Exercise a high degree of caution,"Your passport must be valid for at least 6 months beyond the date you expect to leave Israel, the West Bank or the Gaza Strip.","Tourist visa: Not required for stays up to 90 days
Business visa: Not required
Student visa: Not required
Work visa: Required (must be arranged by Israeli employer)",https://travel.gc.ca/destinations/israel-the-west-bank-and-the-gaza-strip,2020-07-15 14:45:38
Italy,Take normal security precautions,Your passport must be valid for at least 3 months beyond the date you expect to leave the Schengen area.,"Tourist visa: Not required for stays up to 90 days
Business visa: Not required for stays up 90 days
Work visa: Required
Student visa: Required",https://travel.gc.ca/destinations/italy,2020-07-14 16:29:00
Jamaica,Exercise a high degree of caution,Your passport must be valid for the expected duration of your stay in Jamaica.,"Work visa: required
Tourist visa: not required (for stays up to six months)
Business visa: required 
Student visa: required",https://travel.gc.ca/destinations/jamaica,2020-07-15 14:45:38
Japan,Take normal security precautions,"Your passport must be valid for the expected duration of your stay in Japan. If you plan to travel to other countries in the region, check passport validity requirements for the countries you plan to visit. ","Tourist visa: Not required for stays up to a maximum of 90 days
Business visa: Required
Work visa: Required
Student visa: Required ",https://travel.gc.ca/destinations/japan,2020-07-14 16:17:45
Jordan,Exercise a high degree of caution,Your passport must be valid for at least 6 months beyond the date you expect to leave Jordan.,Tourism visa,https://travel.gc.ca/destinations/jordan,2020-07-15 14:45:38
Kazakhstan,Exercise a high degree of caution,Your passport must be valid for at least 6 months beyond the date you expect to leave Kazakhstan.,You must obtain a visa to visit Kazakhstan.,https://travel.gc.ca/destinations/kazakhstan,2020-07-15 14:45:38
Kenya,Exercise a high degree of caution,Your passport must be valid for at least six months from the date of entry into Kenya.,"Canadians must be in possession of a visa to transit through, visit or work in Kenya.",https://travel.gc.ca/destinations/kenya,2020-07-15 14:45:38
Kiribati,Take normal security precautions,Your passport must be valid for at least 6 months beyond the date you expect to leave Kiribati.,"Tourist visa: Not required for up to 30 days 
Business visa: Required unless you are travelling for short term business such as a meeting, seminar, conference or workshop
Student visa: Required",https://travel.gc.ca/destinations/kiribati,2020-07-15 14:45:38
Kosovo,Take normal security precautions,Your passport must be valid for at least 6 months beyond the date you expect to leave from Kosovo.,"Tourist visa: Not required for stays up to 90 days
Business visa: Not required for stays up to 90 days
Student visa: Not required for stays up to 90 days",https://travel.gc.ca/destinations/kosovo,2020-07-15 14:45:38
Kuwait,Exercise a high degree of caution,Your passport must be valid for at least 6 months beyond the date you expect to leave Kuwait.,Canadians must be in possession of a visa to visit Kuwait.,https://travel.gc.ca/destinations/kuwait,2020-07-15 14:45:38
Kyrgyzstan,Exercise a high degree of caution,Your passport must be valid for at least 8 months beyond the date you expect to leave Kyrgyzstan.,"Tourist visa: Not required (for stays up to 60 days) 
Business visa: Not required (for stays up to 60 days) 
Student visa: Not required (for stays up to 60 days)",https://travel.gc.ca/destinations/kyrgyzstan,2020-07-15 14:45:38
Laos,Exercise a high degree of caution,Your passport must be valid for at least 6 months beyond the date you expect to leave Laos.,Canadians must be in possession of a visa.,https://travel.gc.ca/destinations/laos,2020-06-16 14:34:23
Latvia,Take normal security precautions,Your passport must be valid for at least 3 months beyond the date you expect to leave the Schengen area.,"Tourist visa: not required for stays up to 90 days*
Business visa: not required for stays up to 14 days
Student visa: not required for stays up to 90 days*
Work permit: required",https://travel.gc.ca/destinations/latvia,2020-07-03 10:51:29
